TIMESTAMP,EST_ACT_Diff,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,USER_VENUE_DIST,DayOfWeek,user_coordinates,venue_coordinates,venue_postal_code,user_postal_code,source_of_order_pcode
2020-08-01 10:50:00,-5,3,60.157,24.946,60.168,24.939,31,26,0.0,17.8,3.15193,0.0,1.285723589245175,Saturday,"(60.157, 24.946)","(60.168, 24.939)",00100,00140,OUT
2020-08-01 10:55:00,-6,5,60.164,24.93,60.162,24.936,36,30,0.0,17.8,3.15193,0.0,0.400803324506502,Saturday,"(60.164, 24.93)","(60.162, 24.936)",00120,00180,OUT
2020-08-01 10:57:00,-4,6,60.193,24.966,60.192,24.952,34,30,0.0,17.8,3.15193,0.0,0.7846080664309779,Saturday,"(60.193, 24.966)","(60.192, 24.952)",00510,00550,OUT
2020-08-01 10:59:00,1,7,60.157,24.947,60.169,24.945,37,38,0.0,17.8,3.15193,0.0,1.34158468015816,Saturday,"(60.157, 24.947)","(60.169, 24.945)",00100,00140,OUT
2020-08-01 10:59:00,6,2,60.187,24.957,60.195,24.951,32,38,0.0,17.8,3.15193,0.0,0.9514515990275683,Saturday,"(60.187, 24.957)","(60.195, 24.951)",00510,00500,OUT
2020-08-01 11:02:00,0,4,60.17,24.926,60.169,24.933,29,29,0.0,18.9,3.40731,0.0,0.404256687856741,Saturday,"(60.17, 24.926)","(60.169, 24.933)",00100,00100,IN
2020-08-01 11:05:00,-11,4,60.184,24.953,60.186,25.007,40,29,0.0,18.9,3.40731,0.0,3.004635213942554,Saturday,"(60.184, 24.953)","(60.186, 25.007)",00570,00530,OUT
2020-08-01 11:06:00,-1,3,60.163,24.946,60.163,24.941,32,31,0.0,18.9,3.40731,0.0,0.2776264086080731,Saturday,"(60.163, 24.946)","(60.163, 24.941)",00120,00120,IN
2020-08-01 11:06:00,-2,5,60.171,24.955,60.162,24.928,35,33,0.0,18.9,3.40731,0.0,1.8034827393824604,Saturday,"(60.171, 24.955)","(60.162, 24.928)",,00170,OUT
2020-08-01 11:11:00,5,3,60.185,24.919,60.185,24.941,31,36,0.0,18.9,3.40731,0.0,1.2207396914562931,Saturday,"(60.185, 24.919)","(60.185, 24.941)",00530,00250,OUT
2020-08-01 11:12:00,4,1,60.183,24.959,60.185,24.941,30,34,0.0,18.9,3.40731,0.0,1.023371756708758,Saturday,"(60.183, 24.959)","(60.185, 24.941)",00530,00530,IN
2020-08-01 11:16:00,6,3,60.169,24.929,60.171,24.947,34,40,0.0,18.9,3.40731,0.0,1.02378659055437,Saturday,"(60.169, 24.929)","(60.171, 24.947)",00100,00100,IN
2020-08-01 11:17:00,1,3,60.195,24.959,60.193,24.958,22,23,0.0,18.9,3.40731,0.0,0.22963226262733075,Saturday,"(60.195, 24.959)","(60.193, 24.958)",00510,00550,OUT
